ID,NAME,COORD,Y,X,BUSY_PEAK
111,Café Rio Mexican Grill,"43.82205261381906 -111.78615719252123",43.82205261381906,-111.78615719252123,"7:00pm"
112,Papa John's Pizza,"43.822037968114756 -111.78635792845736",43.822037968114756,-111.78635792845736,"7:00pm"
113,Subway,"43.85661972672777 -111.77452028965558",43.85661972672777,-111.77452028965558,"Unknown"
114,Panda Express,"43.85692110901291 -111.7775321290499",43.85692110901291,-111.7775321290499,"6:00pm"
115,Gator Jack's,"43.82213352474853 -111.78877075399761",43.82213352474853,-111.78877075399761,"1:00pm"
116,DA Pineapple Grill,"43.81825098758607 -111.78881050433706",43.81825098758607,-111.78881050433706,"Unknown"
117,Casa De Ochoa,"43.81800214458726 -111.7888743704568",43.81800214458726,-111.78887437045687,"6:00pm"
118,New Fong's,"43.818524976745636 -111.7900633331744",43.818524976745636,-111.7900633331744,"6:00pm"
119,Teton Grill,"43.81848890203451 -111.78219782446234",43.81848890203451,-111.78219782446234,"Unknown"
120,K-Lani's,"43.824306480939256 -111.78426178774605",43.824306480939256,-111.78426178774605,"7:00pm"
121,Gringo's Mexican Restaurant,"43.825101190084034 -111.78346350865988",43.825101190084034,-111.78346350865988,"7:00pm"
122,The Pit Barbecue & Catering,"43.82523772190301 -111.78259838953845",43.82523772190301,-111.78259838953845,"6:00pm"
